BRW,YEAR,DAY0,DAYEND,SLIT,CALSTEP,WAVEL,FWHM,ETC_FL0,ETC_FL1,ETC_FL2,ETC_FL3,ETC_FL4,ETC_FL5,RAYLEIGH,O3_ABS,SO2_ABS,NO2_ABS,TC_CONST,TC_LIN,TC_QUAD,AT_FL1,AT_FL2,AT_FL3,AT_FL4,AT_FL5,STRAYL_CONST,STRAYL_COEFF,STRAYL_EXP,SL_REF,SL_SLOPE,SL_QUAD,AOD_EX1,AOD_EX2,AOD_EX3
185,4019,100,365,1,1020,3031.98542821691,5.60500815185483,0,0,0,0,0,0,5046.64635890437,2.59632076770899,3.41960745085402,0,0,0,0,3963,8271,13622,18477,21512,0,0,0,0,0,0,0,0,0
185,4019,100,365,2,1020,3063.09454434742,5.47715004191662,0,0,0,0,0,0,4829.67747944732,1.77858069899131,5.68114708070393,0,60927.9682840093,-4.42794892661706,0,3942,8230,13550,18364,21398,0,0,0,0,0,0,0,0,0
185,4019,100,365,3,1020,3100.53655650017,5.44260532772962,0,0,0,0,0,0,4584.01979709384,1.00475368920952,2.412055046879,0,61089.5912339521,-4.42328834026762,0,3917,8182,13471,18242,21275,0,0,0,0,0,0,0,0,0
185,4019,100,365,4,1020,3135.03714145475,5.5455573459673,0,0,0,0,0,0,4371.55774871807,0.676303653693701,1.89564262549874,0,61496.3730172454,-4.42318329795179,0,3893,8141,13407,18140,21171,0,0,0,0,0,0,0,0,0
185,4019,100,365,5,1020,3167.98932298914,5.41649688101807,0,0,0,0,0,0,4180.17697410084,0.374880238287864,1.05489809486928,0,61010.1174389568,-4.43064864569315,0,3875,8105,13354,18054,21086,0,0,0,0,0,0,0,0,0
185,4019,100,365,6,1020,3199.99263250488,5.30940863767054,0,0,0,0,0,0,4004.37739557375,0.294134637563851,0.61204573980771,0,60128.4251528776,-4.43087898525742,0,3857,8074,13309,17979,21010,0,0,0,0,0,0,0,0,0
