BRW,YEAR,DAY0,DAYEND,SLIT,CALSTEP,WAVEL,FWHM,RAYLEIGH,O3_ABS,SO2_ABS
5,2019,174,365,1,159,3022.76146523254,7.70577079772293,6700,3.06143338369024,8.3508702821888
5,2019,174,365,2,159,3063.00348178974,10.6765079559236,7273,1.78119064318456,5.67597214730142
5,2019,174,365,3,159,3100.51980343799,10.581565846414,7799,1.00500450020793,2.40465822437961
5,2019,174,365,4,159,3135.06444193776,10.8589974850488,8277,0.676916365404055,1.89117816634559
5,2019,174,365,5,159,3168.0395643681,10.8566747415581,8727,0.374951370557707,1.05574879050531
5,2019,174,365,6,159,3200.06645782917,10.4573349077186,9159,0.293975767257836,0.61019847388254
