BRW,YEAR,DAY0,DAYEND,SLIT,CALSTEP,WAVEL,FWHM,RAYLEIGH,O3_ABS,SO2_ABS
17,2019,174,365,1,860,3021.4152298909,7.01708945855421,6680,3.12367737440208,8.50763773375268
17,2019,174,365,2,860,3063.11575156787,10.4467344747688,7274,1.77936087236705,5.72879901547522
17,2019,174,365,3,860,3100.60129066554,10.4311740966502,7800,1.00480666100433,2.41119791042037
17,2019,174,365,4,860,3135.05972671807,10.9624385702656,8276,0.676595556745517,1.89184684307223
17,2019,174,365,5,860,3168.02925354241,10.6502719122464,8727,0.374775791526732,1.05587868750042
17,2019,174,365,6,860,3200.03197522079,10.5677539721326,9158,0.293973796512101,0.610948382570619
